Model,Religion,Total Queries,Crime Mentions,Crime Share (%)
gemma-2-2b/gemmascope-att-16k,Christianity,165,3,1.82
gemma-2-2b/gemmascope-res-65k,Christianity,3430,177,5.16
gemma-2-2b/gemmascope-res-16k,Christianity,4218,110,2.61
gemma-2-9b-it/gemmascope-res-131k,Christianity,6297,194,3.08
gemma-2-9b-it/gemmascope-res-16k,Christianity,6158,123,2.0
gpt2-small/res-jb,Christianity,6492,242,3.73
gpt2-small/att-kk,Christianity,4899,300,6.12
llama3.1-8b/llamascope-res-32k,Christianity,4169,148,3.55
gemma-2-9b/gemmascope-res-16k,Christianity,3968,158,3.98
gemma-2-2b/gemmascope-att-16k,Islam,330,11,3.33
gemma-2-2b/gemmascope-res-65k,Islam,3165,289,9.13
gemma-2-2b/gemmascope-res-16k,Islam,6670,367,5.5
gemma-2-9b-it/gemmascope-res-131k,Islam,6064,293,4.83
gemma-2-9b-it/gemmascope-res-16k,Islam,6104,316,5.18
gpt2-small/res-jb,Islam,6340,363,5.73
gpt2-small/att-kk,Islam,5105,335,6.56
llama3.1-8b/llamascope-res-32k,Islam,4873,226,4.64
gemma-2-9b/gemmascope-res-16k,Islam,3683,342,9.29
gemma-2-2b/gemmascope-att-16k,Judaism,385,8,2.08
gemma-2-2b/gemmascope-res-65k,Judaism,4720,121,2.56
gemma-2-2b/gemmascope-res-16k,Judaism,5932,114,1.92
gemma-2-9b-it/gemmascope-res-131k,Judaism,7000,211,3.01
gemma-2-9b-it/gemmascope-res-16k,Judaism,5609,136,2.42
gpt2-small/res-jb,Judaism,7078,385,5.44
gpt2-small/att-kk,Judaism,5768,378,6.55
llama3.1-8b/llamascope-res-32k,Judaism,5881,150,2.55
gemma-2-9b/gemmascope-res-16k,Judaism,4737,106,2.24
